"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29895","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/kooltherm-k8 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","5994","functionality of links","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/carriere stage only Health Check > lang: fr-fr","","",""
"","7038","functionality of links","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/carriere stage only Health Check > lang: fr-fr","","",""
"","13319","functionality of links","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation stage only Health Check > lang: fr-fr","","",""
"","12426","functionality of links","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/404 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","2","visual compare","Desktop-1920-Chrome","2026-03-29","skipped","2026-03-29","URL: /r/produits/protection-passive-contre-lincendie/coupe-feu/mastic-refractaire-k-stop > lang: r-produits","","",""
"","1033","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes/coberturas > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","17581","functionality of links","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","39","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/kooltherm-k10 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","259","functionality of links","Mobile-iPhone14","2026-03-30","skipped","2026-03-30","URL: /fr/articles-de-connaissance/comment-reduire-nos-dechets-et-tendre-vers-le-zero-dechet stage only Health Check > lang: fr-articles-de-connaissance","","",""
"","34401","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/poliuretanos-pir-af stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","740","visual compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-engagements-de-kingspan-direct-marketing > lang: fr-fr","","",""
"","689","visual compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-responsable-du-traitement-des-donnees > lang: fr-fr","","",""
"","37","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/poliuretanos-pur-2-ps > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","5623","visual compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/campanhas/full-spectrum-of-insulation-solutions > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","426","visual compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","4861","visual compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/a-propos-de-nous > lang: fr-fr","","",""
"","88","seo compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/campagnes/kingspan-insulation-notre-histoire > lang: fr-fr","","",""
"","0","functionality of links","Mobile-iPhone14","2026-03-29","skipped","2026-03-29","URL: /ie/en/knowledge-articles/what-you-need-to-know-about-internal-wall-insulation-- stage only Health Check > lang: ie-en","","",""
"","36","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/pur-al-plus > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","48","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-pavimentos/kooltherm-k3 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","5983","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/optim-r > lang: fr-fr","","",""
"","5752","functionality of links","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos/planetpassionate stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","60","seo compare","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/a-propos-de-nous/Planet-Passionate > lang: fr-fr","","",""
"","55","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/campagnes/Condit0ons-Generales-de-Vente-de-Kingspan-Insulation > lang: fr-fr","","",""
"","476","visual compare","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/produits/panneaux-isolants/panneaux-isolants-pour-faux-plafonds/pir-gr > lang: fr-fr","","",""
"","2385","visual compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspanisolationtechnique/kooltherm-isolation-de-tuyaux > lang: fr-fr","","",""
"","963","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-coberturas/therma-tt47 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","39","seo compare","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-pavimentos > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","78","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/campagnes/journee-du-gros-pull > lang: fr-fr","","",""
"","14079","functionality of links","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos/hubsostenibilidade stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","46","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/grupos-de-negocios/kingspan-insulation > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","29","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes/paredes > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","3221","visual compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation > lang: fr-fr","","",""
"","6004","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /fr/fr/produits/panneaux-isolants/panneaux-isolants-pour-faux-plafonds/pir-gr stage only Health Check > lang: fr-fr","","",""
"","75","seo compare","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/produits/panneaux-isolants/panneaux-d-isolation-des-facades > lang: fr-fr","","",""
"","38","functionality of links","Desktop-1200-Chrome","2026-03-30","skipped","2026-03-30","URL: /pt/pt/sobre-nos stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","29396","functionality of links","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas/preisoladas-pir-alu-35 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","18","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-politique-controle-sur-les-cookies > lang: fr-fr","","",""
"","40","seo compare","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas/preisoladas-pir-alu-40 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","24950","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-coberturas/poliuretanos-pir-ad stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","481","visual compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","52","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas/preisoladas-pir-alu-35 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","902","visual compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos/hubsostenibilidade/carbonoincorporado > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","5993","functionality of links","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation/kooltherm stage only Health Check > lang: fr-fr","","",""
"","4664","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-modalites-et-conditions-generales-dutilisation-du-site-internet > lang: fr-fr","","",""
"","36","seo compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/applications/sol > lang: fr-fr","","",""
"","5","visual compare","Mobile-iPhone14","2026-03-30","skipped","2026-03-30","URL: /fr/articles-de-connaissance/comment-reduire-nos-dechets-et-tendre-vers-le-zero-dechet > lang: fr-articles-de-connaissance","","",""
"","1781","visual compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-politique-controle-sur-les-cookies > lang: fr-fr","","",""
